iter	Passed	Remaining
0	172	172548
1	174	87083
2	175	58462
3	177	44112
4	178	35568
5	180	29846
6	181	25730
7	182	22646
8	183	20241
9	185	18317
10	186	16739
11	187	15425
12	188	14319
13	190	13387
14	191	12562
15	192	11844
16	193	11208
17	195	10640
18	196	10129
19	197	9672
20	198	9258
21	199	8883
22	200	8537
23	202	8221
24	203	7939
25	204	7671
26	205	7421
27	207	7191
28	208	6976
29	209	6774
30	210	6585
31	211	6408
32	212	6240
33	214	6083
34	215	5936
35	216	5796
36	217	5664
37	218	5540
38	220	5421
39	221	5308
40	222	5200
41	223	5103
42	224	5006
43	226	4913
44	227	4824
45	228	4739
46	229	4657
47	230	4579
48	232	4509
49	233	4439
50	234	4369
51	235	4302
52	237	4237
53	238	4174
54	239	4114
55	240	4056
56	241	4000
57	242	3946
58	244	3894
59	245	3843
60	246	3793
61	247	3750
62	249	3705
63	250	3661
64	251	3618
65	252	3576
66	253	3535
67	254	3488
68	255	3450
69	256	3413
70	258	3376
71	259	3341
72	260	3307
73	261	3273
74	262	3241
75	264	3209
76	265	3178
77	266	3147
78	267	3117
79	268	3088
80	269	3060
81	270	3032
82	272	3005
83	273	2978
84	273	2949
85	275	2924
86	276	2896
87	277	2873
88	278	2849
89	279	2826
90	280	2804
91	281	2782
92	283	2760
93	284	2739
94	285	2719
95	286	2698
96	287	2678
97	288	2658
98	290	2640
99	291	2621
100	292	2603
101	293	2580
102	294	2562
103	295	2545
104	296	2527
105	297	2510
106	298	2494
107	300	2477
108	301	2462
109	302	2446
110	303	2430
111	304	2417
112	306	2402
113	307	2387
114	308	2373
115	309	2358
116	310	2343
117	311	2329
118	312	2314
119	313	2300
120	314	2287
121	315	2274
122	316	2257
123	317	2244
124	318	2232
125	320	2220
126	321	2207
127	321	2193
128	323	2181
129	324	2169
130	325	2158
131	326	2147
132	327	2135
133	328	2124
134	329	2113
135	330	2102
136	332	2091
137	333	2081
138	334	2072
139	335	2063
140	337	2053
141	338	2043
142	339	2033
143	340	2023
144	341	2013
145	342	2004
146	343	1994
147	344	1985
148	345	1976
149	347	1967
150	348	1958
151	349	1949
152	350	1940
153	351	1931
154	352	1923
155	353	1914
156	354	1905
157	356	1897
158	357	1889
159	358	1881
160	359	1873
161	360	1864
162	361	1857
163	362	1849
164	364	1842
165	365	1834
166	366	1826
167	367	1819
168	368	1811
169	369	1804
170	370	1797
171	371	1790
172	373	1783
173	374	1776
174	375	1769
175	376	1763
176	378	1757
177	379	1751
178	380	1746
179	382	1740
180	382	1732
181	384	1726
182	385	1721
183	387	1716
184	388	1712
185	390	1708
186	391	1703
187	393	1698
188	394	1691
189	395	1685
190	396	1679
191	397	1672
192	398	1667
193	399	1661
194	401	1655
195	402	1649
196	403	1644
197	404	1638
198	405	1633
199	407	1628
200	408	1623
201	409	1617
202	410	1612
203	411	1606
204	412	1600
205	413	1595
206	415	1589
207	416	1584
208	417	1579
209	418	1574
210	419	1569
211	420	1563
212	421	1558
213	422	1553
214	424	1548
215	425	1543
216	426	1537
217	427	1532
218	428	1527
219	429	1523
220	430	1517
221	431	1512
222	432	1508
223	434	1503
224	435	1498
225	436	1493
226	437	1488
227	438	1484
228	439	1479
229	440	1474
230	441	1470
231	442	1465
232	443	1461
233	445	1456
234	446	1452
235	447	1448
236	448	1443
237	449	1439
238	450	1434
239	451	1430
240	452	1426
241	453	1421
242	454	1417
243	456	1413
244	457	1408
245	458	1404
246	459	1400
247	460	1396
248	461	1393
249	463	1389
250	464	1385
251	465	1381
252	466	1376
253	467	1373
254	468	1368
255	469	1364
256	470	1361
257	471	1357
258	473	1353
259	474	1349
260	475	1346
261	476	1342
262	477	1338
263	478	1334
264	479	1330
265	481	1327
266	482	1323
267	483	1320
