iter	Passed	Remaining
0	143	142997
1	144	72141
2	145	48463
3	147	36620
4	148	29632
5	150	24869
6	151	21460
7	152	18910
8	153	16920
9	155	15364
10	156	14097
11	158	13034
12	159	12111
13	160	11321
14	161	10634
15	163	10031
16	164	9498
17	165	9025
18	166	8600
19	167	8220
20	169	7894
21	171	7601
22	172	7316
23	173	7051
24	174	6807
25	175	6583
26	176	6376
27	178	6181
28	179	6000
29	180	5832
30	181	5675
31	182	5527
32	184	5401
33	185	5276
34	186	5152
35	188	5036
36	189	4925
37	190	4819
38	191	4720
39	192	4625
40	193	4533
41	195	4458
42	196	4378
43	198	4304
44	199	4240
45	201	4173
46	202	4105
47	203	4042
48	205	3985
49	206	3924
50	207	3865
51	208	3808
52	210	3754
53	211	3702
54	212	3656
55	214	3608
56	215	3560
57	216	3515
58	217	3471
59	218	3427
60	219	3384
61	221	3344
62	222	3304
63	223	3266
64	224	3228
65	225	3191
66	227	3161
67	228	3133
68	229	3101
69	231	3069
70	232	3037
71	233	3007
72	234	2977
73	235	2947
74	236	2919
75	237	2891
76	238	2864
77	240	2837
78	241	2813
79	242	2791
80	244	2769
81	245	2746
82	245	2717
83	247	2694
84	248	2672
85	249	2650
86	250	2629
87	251	2608
88	252	2588
89	253	2567
90	255	2550
91	256	2533
92	258	2518
93	259	2500
94	260	2482
95	261	2464
96	262	2446
97	263	2429
98	265	2412
99	266	2396
100	267	2379
101	268	2363
102	269	2348
103	270	2333
104	272	2320
105	273	2307
106	274	2293
107	275	2279
108	277	2265
109	278	2252
110	279	2238
111	280	2225
112	281	2212
113	283	2199
114	284	2187
115	285	2175
116	286	2162
117	288	2153
118	289	2143
119	290	2131
120	291	2119
121	292	2106
122	293	2095
123	295	2084
124	296	2073
125	297	2062
126	298	2050
127	299	2040
128	300	2030
129	302	2022
130	303	2015
131	305	2006
132	306	1997
133	307	1988
134	308	1979
135	310	1970
136	311	1961
137	312	1951
138	313	1942
139	314	1933
140	315	1924
141	316	1914
142	318	1907
143	319	1899
144	320	1891
145	322	1883
146	323	1875
147	324	1866
148	325	1858
149	326	1851
150	327	1843
151	328	1835
152	330	1827
153	331	1819
154	332	1813
155	333	1806
156	335	1799
157	336	1793
158	337	1786
159	338	1779
160	339	1769
161	340	1762
162	341	1755
163	343	1748
164	344	1742
165	345	1735
166	346	1730
167	348	1725
168	349	1720
169	351	1714
170	352	1707
171	353	1700
172	354	1694
173	355	1688
174	356	1681
175	357	1675
176	358	1669
177	360	1662
178	361	1658
179	363	1653
180	364	1648
181	365	1644
182	367	1639
183	368	1634
184	369	1629
185	371	1625
186	372	1621
187	374	1617
188	376	1614
189	377	1610
190	379	1605
191	380	1600
192	381	1594
193	382	1589
194	383	1583
195	384	1578
196	386	1573
197	387	1568
198	388	1562
199	389	1558
200	390	1553
201	392	1550
202	393	1545
203	395	1541
204	396	1536
205	397	1532
206	398	1527
207	400	1523
208	401	1518
209	402	1513
210	403	1508
211	404	1503
212	405	1499
213	407	1495
214	408	1491
215	409	1487
216	411	1483
217	412	1478
218	413	1473
219	414	1468
220	415	1464
221	416	1459
222	417	1455
223	418	1450
224	419	1446
225	421	1443
226	422	1439
227	423	1435
228	425	1431
229	426	1427
230	427	1422
231	428	1418
232	429	1414
233	430	1410
234	431	1405
235	432	1401
236	434	1397
237	435	1393
238	436	1390
239	438	1387
240	439	1383
241	440	1379
242	441	1375
243	442	1371
244	443	1367
245	444	1363
246	446	1359
247	447	1355
248	448	1351
249	449	1348
250	450	1345
251	452	1342
252	453	1338
253	454	1335
254	455	1331
255	456	1327
256	458	1324
257	459	1320
258	460	1316
259	461	1313
260	462	1309
261	463	1306
262	464	1303
263	466	1300
264	468	1298
265	469	1296
266	471	1293
267	472	1290
268	473	1287
269	475	1284
270	476	1282
271	478	1280
272	480	1280
273	482	1278
274	483	1275
275	485	1272
276	486	1269
277	487	1266
278	489	1263
279	490	1261
280	491	1258
281	493	1256
282	495	1256
283	497	1254
284	498	1251
285	499	1248
286	501	1245
287	502	1242
288	503	1239
289	505	1236
290	506	1233
291	507	1230
292	509	1228
293	510	1226
294	512	1225
295	514	1223
296	515	1220
297	517	1217
298	518	1215
299	519	1212
300	520	1209
301	521	1206
302	523	1203
303	524	1201
304	526	1199
305	527	1197
306	529	1195
307	530	1192
308	532	1189
309	533	1187
310	534	1184
311	535	1180
312	536	1178
313	538	1175
314	539	1173
315	541	1171
316	542	1168
317	543	1165
318	544	1162
319	545	1160
320	547	1157
321	548	1154
322	549	1151
323	550	1148
324	552	1146
325	554	1146
326	555	1144
327	557	1141
328	558	1139
329	560	1137
330	561	1134
331	562	1132
332	564	1130
333	565	1127
334	566	1125
335	567	1122
336	569	1119
337	570	1116
338	571	1114
339	572	1111
340	574	1109
341	575	1107
342	576	1104
343	577	1101
344	578	1099
345	580	1096
346	581	1093
347	582	1091
348	583	1088
349	584	1085
350	585	1083
351	586	1080
352	588	1078
353	590	1077
354	591	1074
355	592	1072
356	593	1069
357	595	1067
358	596	1064
359	597	1062
360	598	1059
361	599	1057
362	601	1054
363	602	1053
364	604	1051
365	605	1049
366	607	1046
367	608	1044
368	609	1042
369	610	1040
370	612	1037
371	613	1035
372	614	1032
373	615	1030
374	616	1028
375	618	1026
376	619	1024
377	621	1022
378	622	1019
379	623	1017
380	625	1015
381	626	1013
382	627	1011
383	629	1009
384	630	1006
385	631	1004
386	632	1002
387	634	1001
388	636	999
389	637	997
390	638	995
391	640	992
392	641	990
393	642	987
394	643	985
395	644	983
396	645	980
397	647	979
398	648	977
399	650	975
400	651	972
401	652	971
402	654	969
403	655	966
404	656	964
405	657	962
406	658	960
407	660	957
408	661	955
409	662	953
410	664	952
411	665	950
412	667	948
413	668	946
414	669	944
415	671	942
416	672	939
417	673	937
418	674	935
419	675	933
420	677	931
421	678	929
422	680	927
423	681	925
424	683	924
425	684	922
426	685	920
427	686	917
428	688	915
429	689	913
430	690	911
431	691	909
432	693	907
433	694	905
434	695	903
435	697	901
436	698	899
437	699	897
438	701	895
439	702	893
440	703	891
441	704	889
442	706	887
443	707	886
444	709	884
445	710	882
446	711	880
447	713	878
448	714	876
449	715	874
450	717	872
451	718	870
452	719	868
453	720	866
454	722	864
455	723	863
456	725	861
457	726	859
458	727	857
459	729	856
460	730	854
461	732	852
462	733	850
463	734	848
464	738	849
465	739	847
466	741	846
467	743	844
468	744	843
469	746	841
470	747	839
471	749	838
472	751	837
473	753	836
474	754	834
475	756	832
476	757	830
477	758	828
